"OFFICE_ID","DESCRIPTION","LONGITUDE_X","LATUTUDE_Y"
"E02000003","Barking and Dagenham 002",0.139626,51.572151
"E02000008","Barking and Dagenham 007",0.134976,51.552667
"E02000009","Barking and Dagenham 008",0.119114,51.551552
"E02000012","Barking and Dagenham 011",0.099766,51.543941
"E02000020","Barking and Dagenham 019",0.094359,51.532680
"E02000024","Barnet 001",-0.203788,51.654213
"E02000036","Barnet 013",-0.263668,51.622822
"E02000038","Barnet 015",-0.155016,51.614555
"E02000042","Barnet 019",-0.178093,51.612137
"E02000045","Barnet 022",-0.148740,51.605140
"E02000047","Barnet 024",-0.263428,51.603368
"E02000048","Barnet 025",-0.212703,51.602139
"E02000050","Barnet 027",-0.176243,51.600274
"E02000052","Barnet 029",-0.169728,51.592088
"E02000053","Barnet 030",-0.248829,51.592845
"E02000055","Barnet 032",-0.222770,51.588020
"E02000058","Barnet 035",-0.197824,51.582568
"E02000059","Barnet 036",-0.241552,51.579778
"E02000060","Barnet 037",-0.208141,51.577528
"E02000072","Bexley 008",0.187000,51.472471
"E02000073","Bexley 009",0.125857,51.472148
"E02000080","Bexley 016",0.103420,51.459584
"E02000083","Bexley 019",0.183073,51.452354
"E02000084","Bexley 020",0.129116,51.452466
"E02000093","Brent 001",-0.273971,51.593829
"E02000107","Brent 015",-0.219082,51.556086
"E02000109","Brent 017",-0.278328,51.553409
"E02000111","Brent 019",-0.303163,51.551613
"E02000112","Brent 020",-0.287143,51.551839
"E02000114","Brent 022",-0.229382,51.547537
"E02000117","Brent 025",-0.250235,51.544226
"E02000121","Brent 029",-0.297963,51.542141
"E02000123","Brent 031",-0.246177,51.536486
"E02000131","Bromley 005",-0.070877,51.416368
"E02000132","Bromley 006",-0.028353,51.413952
"E02000133","Bromley 007",0.055968,51.410173
"E02000134","Bromley 008",0.015933,51.411463
"E02000135","Bromley 009",-0.060451,51.412266
"E02000156","Bromley 030",-0.013977,51.375992
"E02000170","Camden 005",-0.199973,51.553402
